iter	Passed	Remaining
0	40	20038
1	71	17881
2	102	17026
3	128	15966
4	156	15500
5	183	15102
6	212	14960
7	242	14911
8	269	14698
9	295	14462
10	322	14322
11	347	14149
12	374	14033
13	403	14016
14	432	13976
15	464	14037
16	492	13980
17	519	13915
18	545	13811
19	573	13755
20	599	13666
21	626	13622
22	660	13694
23	686	13610
24	712	13533
25	737	13452
26	764	13391
27	791	13337
28	818	13290
29	847	13275
30	876	13257
31	907	13271
32	933	13209
33	959	13152
34	987	13113
35	1012	13051
36	1038	13000
37	1065	12950
38	1095	12949
39	1122	12909
40	1148	12860
41	1175	12820
42	1201	12770
43	1227	12723
44	1255	12689
45	1281	12642
46	1314	12673
47	1343	12648
48	1369	12608
49	1396	12569
50	1423	12535
51	1449	12491
52	1476	12450
53	1502	12413
54	1535	12424
55	1562	12390
56	1589	12351
57	1616	12318
58	1642	12280
59	1668	12237
60	1696	12210
61	1723	12176
62	1755	12176
63	1787	12175
64	1814	12141
65	1840	12099
66	1866	12064
67	1893	12031
68	1926	12032
69	1952	11992
70	1983	11982
71	2010	11954
72	2037	11915
73	2063	11880
74	2090	11848
75	2117	11815
76	2144	11781
77	2172	11752
78	2203	11743
79	2234	11732
80	2267	11729
81	2294	11697
82	2321	11664
83	2348	11632
84	2375	11598
85	2405	11578
86	2434	11557
87	2460	11519
88	2487	11486
89	2514	11454
90	2540	11417
91	2567	11385
92	2594	11352
93	2619	11315
94	2655	11320
95	2684	11296
96	2710	11262
97	2737	11228
98	2764	11197
99	2790	11161
100	2816	11126
101	2844	11100
102	2879	11097
103	2907	11071
104	2934	11037
105	2961	11008
106	2988	10975
107	3014	10940
108	3041	10908
109	3071	10888
110	3098	10858
111	3124	10824
112	3150	10790
113	3178	10760
114	3204	10729
115	3230	10695
116	3261	10676
117	3294	10665
118	3332	10669
119	3359	10637
120	3384	10602
121	3414	10578
122	3443	10553
123	3470	10522
124	3497	10492
125	3527	10471
126	3556	10445
127	3582	10412
128	3609	10382
129	3637	10351
130	3663	10318
131	3689	10286
132	3715	10253
133	3747	10234
134	3775	10208
135	3802	10177
136	3831	10151
137	3858	10120
138	3884	10088
139	3911	10057
140	3936	10022
141	3964	9994
142	3996	9977
143	4024	9949
144	4051	9918
145	4080	9893
146	4106	9861
147	4133	9830
148	4160	9800
149	4193	9783
150	4227	9771
151	4253	9738
152	4279	9706
153	4306	9676
154	4339	9659
155	4366	9627
156	4393	9598
157	4421	9571
158	4456	9557
159	4484	9529
160	4510	9497
161	4537	9466
162	4563	9433
163	4588	9401
164	4616	9372
165	4647	9350
166	4678	9329
167	4704	9297
168	4730	9264
169	4757	9234
